"database_name","schema_name","table_name","object_type","approximate_rows","create_date","modify_date"
"HnnDW","dbo","Fact_Facing_202409","TABLE","72790610","07.09.2024 11:49:27","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202410","TABLE","90756354","01.10.2024 3:31:39","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202411","TABLE","89880464","14.11.2024 10:14:48","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202412","TABLE","93622489","01.12.2024 4:49:14","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202501","TABLE","75756305","01.01.2025 22:20:21","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202502","TABLE","78471328","02.02.2025 8:57:25","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202503","TABLE","86431381","02.03.2025 10:32:37","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202504","TABLE","89552070","01.04.2025 23:19:28","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202505","TABLE","76773967","01.05.2025 23:57:12","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202506","TABLE","72262615","01.06.2025 22:54:35","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202507","TABLE","59630146","01.07.2025 22:35:53","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202508","TABLE","55377070","01.08.2025 22:56:32","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202509","TABLE","57378068","01.09.2025 22:42:14","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202510","TABLE","61852603","01.10.2025 22:40:49","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202511","TABLE","52229284","02.11.2025 4:44:25","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202512","TABLE","59670503","01.12.2025 22:44:58","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202601","TABLE","43953762","01.01.2026 22:41:57","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202602","TABLE","55295434","01.02.2026 22:47:59","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202603","TABLE","59825136","01.03.2026 22:51:36","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202604","TABLE","63500195","01.04.2026 22:38:55","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_Facing_202605","TABLE","59569106","01.05.2026 23:07:03","01.05.2026 23:07:03"
"HnnDW","dbo","Fact_Facing_202606","TABLE","62139734","01.06.2026 22:40:20","01.06.2026 22:40:20"
"HnnDW","dbo","Fact_Facing_202607","TABLE","65785382","01.07.2026 22:37:50","01.07.2026 22:37:50"
"HnnDW","dbo","Fact_Facing_202608","TABLE","61732583","02.08.2026 4:13:15","02.08.2026 4:13:15"
"HnnDW","dbo","FACT_Items_Attributes_History","TABLE","29726921","24.07.2024 20:11:40","31.03.2026 12:54:42"
"HnnDW","dbo","FACT_Items_MustTop","TABLE","3584","24.07.2024 20:11:40","24.07.2024 20:11:40"
"HnnDW","dbo","Fact_Matrix2Items","TABLE","25703658","24.07.2024 20:11:05","24.07.2024 20:11:05"
"HnnDW","dbo","Fact_Matrix2SHIPTO","TABLE","1008864","24.07.2024 20:11:05","24.07.2024 20:11:05"
"HnnDW","dbo","Fact_OOS_202211","TABLE","0","05.08.2024 16:42:24","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202212","TABLE","1065","05.08.2024 16:46:04","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202301","TABLE","14298","05.08.2024 16:47:37","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202302","TABLE","242539","05.08.2024 16:48:58","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202303","TABLE","148472","05.08.2024 16:53:53","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202304","TABLE","89605","05.08.2024 16:58:07","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202305","TABLE","105480","05.08.2024 17:01:21","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202306","TABLE","108262","05.08.2024 17:04:55","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202307","TABLE","107581","05.08.2024 17:08:26","15.04.2026 16:16:36"
"HnnDW","dbo","Fact_OOS_202308","TABLE","331443","05.08.2024 17:12:07","15.04.2026 16:16:36"
