"visit_id","aggregate_visit_id","visit_date","store_id","agent_master_id"
"3006689_1184815_20260723","850307663_20260723_1549","23.07.2026 0:00:00","850307663","3006689"
"3006689_1185274_20260709","850200295_20260709_1549","09.07.2026 0:00:00","850200295","3006689"
"3006689_1185274_20260713","850200295_20260713_1549","13.07.2026 0:00:00","850200295","3006689"
"3006689_1185274_20260715","850200295_20260715_1549","15.07.2026 0:00:00","850200295","3006689"
"3006689_1185274_20260722","850200295_20260722_1549","22.07.2026 0:00:00","850200295","3006689"
"3006689_1185274_20260723","850200295_20260723_1549","23.07.2026 0:00:00","850200295","3006689"
"3006690_1028276_20260702","850294529_20260702_0781","02.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260703","850294529_20260703_0781","03.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260705","850294529_20260705_0781","05.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260706","850294529_20260706_0781","06.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260709","850294529_20260709_0781","09.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260710","850294529_20260710_0781","10.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260712","850294529_20260712_0781","12.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260713","850294529_20260713_0781","13.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260716","850294529_20260716_0781","16.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260717","850294529_20260717_0781","17.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260719","850294529_20260719_0781","19.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260724","850294529_20260724_0781","24.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260726","850294529_20260726_0781","26.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260727","850294529_20260727_0781","27.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260730","850294529_20260730_0781","30.07.2026 0:00:00","850294529","3006690"
"3006690_1028276_20260731","850294529_20260731_0781","31.07.2026 0:00:00","850294529","3006690"
"3006693_1000547_20260701","850176923_20260701_3886","01.07.2026 0:00:00","850176923","3006693"
