"store_id","network_code","network_name","store_format","city","business_unit","sales_group"
"850298137","MAGNIT","""АО ""ТАНДЕР"" 192707  ""","NATIONAL KEY ACCOUNT","Г. НОВОКУЗНЕЦК","SIBERIA","NOVOKUZNETSK"
"850298139","MAGNIT","""АО ""ТАНДЕР"" 378989  ""","NATIONAL KEY ACCOUNT","Г. АНЖЕРО-СУДЖЕНСК","SIBERIA","KEMEROVO"
"850298140","MAGNIT","""АО ""ТАНДЕР"" 419116  ""","NATIONAL KEY ACCOUNT","Г. КИСЕЛЕВСК","SIBERIA","NOVOKUZNETSK"
"850298141","MAGNIT","""АО ""ТАНДЕР"" 955464  ""","NATIONAL KEY ACCOUNT","Г. ЮРГА","SIBERIA","KEMEROVO"
"850298142","MAGNIT","""АО ""ТАНДЕР"" 267386  ""","NATIONAL KEY ACCOUNT","Г. КИСЕЛЕВСК","SIBERIA","KEMEROVO"
"850298143","MAGNIT","""АО ""ТАНДЕР"" 822448  ""","NATIONAL KEY ACCOUNT","Г. КИСЕЛЕВСК","SIBERIA","KEMEROVO"
"850298145","MAGNIT","""АО ""ТАНДЕР"" 717668  ""","NATIONAL KEY ACCOUNT","Г. ЛЕНИНСК-КУЗНЕЦКИЙ","SIBERIA","KEMEROVO"
"850298146","MAGNIT","""АО ""ТАНДЕР"" 941271  ""","NATIONAL KEY ACCOUNT","Г. ОМСК","CENTRE","OMSK"
"850298160","MAGNIT","""АО ""ТАНДЕР"" 591318  ""","NATIONAL KEY ACCOUNT","Г. ТЮМЕНЬ","CENTRE","TUMEN"
"850298161","MAGNIT","""АО ""ТАНДЕР"" 490689  ""","NATIONAL KEY ACCOUNT","Г. ТЮМЕНЬ","CENTRE","TUMEN"
"850298162","MAGNIT","""АО ""ТАНДЕР"" 227424  ""","NATIONAL KEY ACCOUNT","Г. ТЮМЕНЬ","CENTRE","TUMEN"
"850298166","MAGNIT","""АО ""ТАНДЕР"" 598249  ""","NATIONAL KEY ACCOUNT","Г. НОЯБРЬСК","CENTRE","SURGUT"
"850298168","MAGNIT","""АО ""ТАНДЕР"" 859739  ""","NATIONAL KEY ACCOUNT","Г. СУРГУТ","CENTRE","SURGUT"
"850298173","MAGNIT","""АО ""ТАНДЕР"" 688992  ""","NATIONAL KEY ACCOUNT","Г. СУРГУТ","CENTRE","SURGUT"
"850298174","MAGNIT","""АО ""ТАНДЕР"" 677076  ""","NATIONAL KEY ACCOUNT","Г. СУРГУТ","CENTRE","SURGUT"
"850298176","MAGNIT","""АО ""ТАНДЕР"" 53813  ""","NATIONAL KEY ACCOUNT","Г. СУРГУТ","CENTRE","SURGUT"
"850298251","PYATEROCHKA","""ООО ""АГРОТОРГ"" 20708-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. ОДИНЦОВО","MOSCOW","MOSCOW OBL"
"850298266","7SHAGOV","""ООО ""ТК ПРОГРЕСС"" 780133  ""","LOCAL KEY ACCOUNT","Г. САНКТ-ПЕТЕРБУРГ","WEST","SAINT-PETERSBURG"
"850298277","PYATEROCHKA","""ООО ""АГРОТОРГ"" 19482-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. СОЧИ","SOUTH","BLACK SEA COAST"
"850298291","MAGNIT","""АО ""ТАНДЕР"" 183963  ""","NATIONAL KEY ACCOUNT","Г. ЕЛАБУГА","CENTRE","NAB.CHELNY"
"850298299","MAGNIT","""АО ""ТАНДЕР"" 313029  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850298301","MAGNIT","""АО ""ТАНДЕР"" 413322  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850298302","MAGNIT","""АО ""ТАНДЕР"" 463134  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850298307","MAGNIT","""АО ""ТАНДЕР"" 800691  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850298308","MAGNIT","""АО ""ТАНДЕР"" 761849  ""","NATIONAL KEY ACCOUNT","Г. КАЗАНЬ","CENTRE","KAZAN"
"850298346","MONETKA","""ООО ""ЭЛЕМЕНТ-ТРЕЙД"" 2400  ""","NATIONAL KEY ACCOUNT","Г. ТЮМЕНЬ","CENTRE","TUMEN"
"850298367","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22237-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. РАМЕНСКОЕ","MOSCOW","MOSCOW OBL"
"850298404","PYATEROCHKA","""ООО ""АГРОТОРГ"" 22680-ПЯТЕРОЧКА  ""","NATIONAL KEY ACCOUNT","Г. НОВОСИБИРСК","SIBERIA","NOVOSIBIRSK"
"850298463","MAGNIT","""АО ""ТАНДЕР"" 941368  ""","NATIONAL KEY ACCOUNT","Г. ПЯТИГОРСК","SOUTH","STAVROPOL"
"850298464","MAGNIT","""АО ""ТАНДЕР"" 692393  ""","NATIONAL KEY ACCOUNT","Г. ВЛАДИКАВКАЗ","SOUTH","SEV. OSETIYA"
"850298469","MAGNIT","""АО ""ТАНДЕР"" 664366  ""","NATIONAL KEY ACCOUNT","Г. КАСПИЙСК","SOUTH","DAGESTAN"
"850298470","MAGNIT","""АО ""ТАНДЕР"" 823011  ""","NATIONAL KEY ACCOUNT","Г. КАСПИЙСК","SOUTH","DAGESTAN"
